nom,date,management_en,ner_json
Bunia,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Gety,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Kilo,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Komanda,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Lita,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Mangala,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Mongbwalu,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Nizi,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Nyankunde,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Rwampara,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Butembo,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Goma,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Oicha,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Kalunguta,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Katwa,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Kyondo,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Beni,30-05-2026,"Joint mission PECH-IPC-Surveillance-UNICEF (assessment of Nyankunde Health Zone for MVE intensification). Monitoring of CTE construction works at Bunia General Referral Hospital, Bunia CME, Rwampara General Referral Hospital. Transfer of patients from ESS to care sites.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9224}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9961}, {""type"": ""LOC"", ""value"": ""Nyankunde Health Zone"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""MV"", ""score"": 0.7534}, {""type"": ""ORG"", ""value"": ""CTE"", ""score"": 0.7776}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9906}, {""type"": ""LOC"", ""value"": ""##unia General Referral Hospital"", ""score"": 0.9962}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9108}, {""type"": ""LOC"", ""value"": ""##unia CME"", ""score"": 0.9614}, {""type"": ""LOC"", ""value"": ""Rwampara General Referral Hospital"", ""score"": 0.9916}, {""type"": ""ORG"", ""value"": ""ESS"", ""score"": 0.9339}]"
Aru,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
Aungba,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
Bambu,31-05-2026,"Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites. Six (6) deaths recorded across HZs Rwampara, Bambu and Nyankunde.","[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9981}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8671}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.9716}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9627}]"
Bunia,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites. Two (2) additional deaths (ETC Bunia). Psychosocial support provided to 50 families of suspected cases and 12 families of confirmed cases. 22 results announced including 4 negative.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9972}, {""type"": ""ORG"", ""value"": ""ETC Bunia"", ""score"": 0.8974}]"
Damas,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
Gety,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
Kilo,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
Komanda,31-05-2026,Follow-up on ETC construction works. Transfer of patients from peripheral health facilities to case management sites.,"[{""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9973}]"
