nom,date,provincial_community_engagement_en,ner_json
South-Kivu,08-06-2026,"At Kabunga primary school, 1,252 children (637 boys, 615 girls) were sensitized on EVD. Advocacy with 23 teachers and a director aimed to boost school efforts. Fourteen U-reporter volunteers received RCCE briefings. Ten radio stations aired prevention messages, and 640 community leaders/relays committed to supporting health zone actions.","[{""type"": ""LOC"", ""value"": ""Ka"", ""score"": 0.9722}, {""type"": ""LOC"", ""value"": ""##bunga"", ""score"": 0.5603}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.6584}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9976}]"
Ituri,08-06-2026,"A dialogue with religious leaders reached 177 people (80 on EVD/CBS, 97 religious leaders). Two advocacy sessions engaged 20 people. Five mass sensitizations reached 385 people across 7 zones on prevention, safe burials, and alerts. Feedback included a viral message undermining trust in ETCs and truck drivers refusing handwashing. Targeted recommendations followed.","[{""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.9841}, {""type"": ""ORG"", ""value"": ""CBS"", ""score"": 0.9772}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.9884}]"
North-Kivu,09-06-2026,"A total of 11,303 people were sensitized. A total of 5,080 households were visited, reaching 24,671 people. A total of 649 community relays were mobilized across 12 out of 20 health areas. A total of 340 people were briefed, and 212 students were sensitized. A total of 25 alerts were reported, and 3 rumors were clarified. A total of 18 radio stations were engaged.",[]
South-Kivu,09-06-2026,A total of 399 schoolchildren in Panzi and Bwindi were sensitized. A briefing was held for 45 community and religious leaders in Ibanda. Ebola communication materials were posted in Bukavu.,"[{""type"": ""LOC"", ""value"": ""Panzi"", ""score"": 0.993}, {""type"": ""LOC"", ""value"": ""Bwindi"", ""score"": 0.8407}, {""type"": ""LOC"", ""value"": ""Ibanda"", ""score"": 0.9812}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9962}, {""type"": ""MISC"", ""value"": ""##a"", ""score"": 0.7508}, {""type"": ""LOC"", ""value"": ""Bukavu"", ""score"": 0.9474}]"
Ituri,09-06-2026,"An alert was raised by a traditional healer about a suspected case that escaped from Mongbwalu. Testimonies of recovered patients from Nyankunde were broadcast. Fifteen community dialogues reached 125 people, and 9 mass sensitizations reached 3,108 people. Four advocacy meetings in Rwampara involved 25 people.","[{""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.8929}, {""type"": ""LOC"", ""value"": ""Nyanku"", ""score"": 0.9333}, {""type"": ""LOC"", ""value"": ""##nde"", ""score"": 0.431}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.841}]"
North-Kivu,11-06-2026,"11,853 people sensitized in public spaces. 77 key community actors engaged. 18 radios broadcast 18 shows and 36 spots. 11 community alerts reported with 368 community actors involved.",[]
South-Kivu,11-06-2026,Advocacy with 45 leaders in Katana HZ. RCCE pillar meeting in Mitimurhesa HZ. Briefing of 10 RCCE pillar members in Katana HZ.,"[{""type"": ""ORG"", ""value"": ""Kat"", ""score"": 0.7979}, {""type"": ""LOC"", ""value"": ""##ana HZ"", ""score"": 0.8317}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9984}, {""type"": ""LOC"", ""value"": ""Mitimurhesa HZ"", ""score"": 0.932}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9983}, {""type"": ""ORG"", ""value"": ""Kat"", ""score"": 0.543}, {""type"": ""LOC"", ""value"": ""##ana HZ"", ""score"": 0.9764}]"
Ituri,11-06-2026,Evaluation of EVD response activities in Mongbwalu HZ. Advocacy with the Mayor of Shari commune to regulate prayers at Balidja morgue (near CME Nyankunde). Result: Mayor promised to summon the morgue owner.,"[{""type"": ""MISC"", ""value"": ""EVD"", ""score"": 0.5744}, {""type"": ""LOC"", ""value"": ""Mongbwalu HZ"", ""score"": 0.9743}, {""type"": ""LOC"", ""value"": ""Shari"", ""score"": 0.8809}, {""type"": ""LOC"", ""value"": ""Balidja"", ""score"": 0.9745}, {""type"": ""ORG"", ""value"": ""CME N"", ""score"": 0.9296}, {""type"": ""LOC"", ""value"": ""##yankunde"", ""score"": 0.8615}]"
North-Kivu,15-06-2026,"32 community leaders briefed on RCCE. 20,704 people sensitized during 10,252 household visits (1,305 community actors). 51 community alerts collected in Goma, Karisimbi and Nyiragongo. 9,719 people sensitized through mass sessions and educational talks. 18 radios engaged (3 formats produced, 2 broadcast). 2 community feedbacks collected and clarified (100%).","[{""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9972}, {""type"": ""LOC"", ""value"": ""Go"", ""score"": 0.9845}, {""type"": ""LOC"", ""value"": ""##ma"", ""score"": 0.5244}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9626}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.9272}]"
South-Kivu,15-06-2026,"Support to surveillance for re-sampling of 6 suspected cases. 32 people sensitized on importance of sampling and EVD prevention. Advocacy meeting with 75 community leaders and village chiefs (43M,32F) on their involvement.","[{""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9739}]"
Ituri,15-06-2026,"Advocacy with Vice-President of Provincial Assembly and UNADI President for involvement in RCCE activities. New Military Governor called for adherence to barrier measures. Mass sensitization of 2,168 people (876M,1,292F) in Nyankunde, Aru, Bunia. Home visits to 8,080 households by 832 community relays reaching 8,121M and 11,626F in Bunia, Nyankunde, Rwampara. 12 relays conducted educational talks in 16 households (278 people: 110M,168F). Briefing of 31 people on community-based surveillance, PPE use and disinfection procedures in Mongbwalu and Nyankunde.","[{""type"": ""ORG"", ""value"": ""Provincial Assembly"", ""score"": 0.9973}, {""type"": ""ORG"", ""value"": ""UNADI"", ""score"": 0.9865}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9984}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9278}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.981}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.9672}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9933}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.981}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.994}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9448}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.983}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9187}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9612}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9677}]"
North-Kivu,16-06-2026,"33,708 people sensitized in 15,687 households by 2,005 community relays (73% of 46,000 target, 68% of 23,000 households). 1,042 people sensitized in schools, universities, markets, sports and health centers. 488 people sensitized on hand hygiene on African Child Day. 18 local radios (72% coverage), 3 validated communication formats. Advocacy with Mayor of Kimemi to facilitate access to peripheral neighborhoods. 144 CAC members (101M,43F) in Matanda AS sensitized on barrier measures and community alert reporting.","[{""type"": ""MISC"", ""value"": ""African Child Day"", ""score"": 0.9977}, {""type"": ""LOC"", ""value"": ""Kim"", ""score"": 0.8219}, {""type"": ""PER"", ""value"": ""##em"", ""score"": 0.6565}, {""type"": ""LOC"", ""value"": ""##i"", ""score"": 0.6023}, {""type"": ""ORG"", ""value"": ""Matanda AS"", ""score"": 0.9894}]"
South-Kivu,16-06-2026,"Community resistance lifted around escaped confirmed case who accepted to return for sampling (Mitimurhesa HZ). Mass sensitization of 436 schoolchildren (253M,183F) at Complexe Scolaire les Bâtisseurs. Educational talk with 28 mothers during ANC at CS Kavumu. 465 households visited, 1,810 people sensitized, 176 community alerts raised, 22 leaders engaged. 2 radios broadcast EVD messages in Katana and Mitimurhesa HZs.","[{""type"": ""LOC"", ""value"": ""Mi"", ""score"": 0.53}, {""type"": ""ORG"", ""value"": ""##mu"", ""score"": 0.7277}, {""type"": ""LOC"", ""value"": ""Complexe Scolaire les B"", ""score"": 0.8306}, {""type"": ""ORG"", ""value"": ""##\u00e2tis"", ""score"": 0.7154}, {""type"": ""LOC"", ""value"": ""##se"", ""score"": 0.8195}, {""type"": ""ORG"", ""value"": ""##urs"", ""score"": 0.4485}, {""type"": ""ORG"", ""value"": ""ANC"", ""score"": 0.9097}, {""type"": ""LOC"", ""value"": ""CS Kavu"", ""score"": 0.7003}, {""type"": ""ORG"", ""value"": ""##mu"", ""score"": 0.3371}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.67}, {""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.9727}, {""type"": ""LOC"", ""value"": ""Mitimu"", ""score"": 0.729}, {""type"": ""LOC"", ""value"": ""##hesa"", ""score"": 0.8931}]"
Ituri,16-06-2026,"Motorized caravan organized to accompany discharge of 7 recovered patients at Rwampara ETC. Chief of Groupement Tsere, Medical Chief and recovered patients sensitized communities on EVD prevention and ETC adherence. Home visits to 7,050 households by 470 community relays reaching 12,285 people (5,029M,7,256F) in Rwampara HZ. 9 relays conducted educational talks in 9 households (190 people). 226 people sensitized on prevention, case management, community alerts and SDB. Community dialogue with 30 people (17M,13F) in Mongbwalu HZ. 132 providers briefed on community-based surveillance, alert reporting, case follow-up and feedback collection in Mongbwalu, Rwampara, Bunia. Training of 77 people in Bunia HZ on sensitization, risk communication, EVD prevention, SDB importance and household decontamination. Radio spots and messages broadcast on 18 media outlets.","[{""type"": ""LOC"", ""value"": ""R"", ""score"": 0.5037}, {""type"": ""LOC"", ""value"": ""##mp"", ""score"": 0.7712}, {""type"": ""ORG"", ""value"": ""##ara ETC"", ""score"": 0.7915}, {""type"": ""ORG"", ""value"": ""Groupement T"", ""score"": 0.8539}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9717}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.9755}, {""type"": ""LOC"", ""value"": ""Rwampara HZ"", ""score"": 0.8707}, {""type"": ""LOC"", ""value"": ""Mongbwalu HZ"", ""score"": 0.9804}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9739}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8755}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9899}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9831}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9845}, {""type"": ""LOC"", ""value"": ""##unia HZ"", ""score"": 0.9664}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9384}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.9087}]"
North-Kivu,18-06-2026,"7,732 households visited (48% of 15,990 target), 14,949 people sensitized (9,010F/5,939H). Catch-up plan targets 75% by 30 June with 10 additional mobile teams. 342 religious leaders and 58 APA involved. 18 radio broadcasts + 8 replays reaching 340,000 listeners. Joint UNICEF/OMS/ZS Katwa visit. 61 local authorities mobilized in Karisimbi HZ. 81 key actors trained (35 RECO, 12 teachers, 10 traditional healers, 8 pastors, 10 pharmacists, 6 managers) with knowledge increase of 32% (target >50%).","[{""type"": ""ORG"", ""value"": ""AP"", ""score"": 0.8503}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9946}, {""type"": ""ORG"", ""value"": ""OMS"", ""score"": 0.9788}, {""type"": ""ORG"", ""value"": ""ZS Katwa"", ""score"": 0.9891}, {""type"": ""LOC"", ""value"": ""Karisimbi HZ"", ""score"": 0.8979}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.8821}]"
South-Kivu,18-06-2026,"Advocacy with 15 teachers to strengthen classroom and community sensitization. Briefing of 64 community leaders, relays and PRECO on RCCE interventions and communication techniques. 748 households visited, 5,483 people sensitized on prevention, household decontamination and SDB importance. 2 radio broadcasts in Miti-Murhesa HZ. 64 leaders engaged.","[{""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9898}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.7563}, {""type"": ""LOC"", ""value"": ""Mi"", ""score"": 0.9813}, {""type"": ""LOC"", ""value"": ""##ti - Murhesa HZ"", ""score"": 0.8749}]"
Ituri,18-06-2026,"Community dialogue with 46 people (8M,38F) in Mongbwalu and Nyankunde on EVD prevention, case management, community alerts and SDB. 1,318 people reached (1,288M,30F). Home visits to 685 households by community relays reaching 3,186 people (1,339M,1,847F) in Aru, Bunia, Nyankunde, Rwampara. Educational talks in 246 households reaching 2,400 people (1,049M,1,351F). Briefing of 120 community relays in Bambu and Nia-Nia on community-based surveillance. Training of 23 providers on community-based surveillance in Bunia. Radio spots and messages broadcast on 18 media outlets.","[{""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9512}, {""type"": ""LOC"", ""value"": ""Nyanku"", ""score"": 0.9608}, {""type"": ""LOC"", ""value"": ""##nde"", ""score"": 0.5058}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9677}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.9814}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.6442}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9937}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9486}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9701}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8434}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.9332}, {""type"": ""LOC"", ""value"": ""Ni"", ""score"": 0.9913}, {""type"": ""LOC"", ""value"": ""##a"", ""score"": 0.4787}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8049}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9934}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8621}]"
Ituri,19-06-2026,"Community dialogue with 22 people (19M,3F) in Bunia on EVD prevention, case management, community alerts and SDB. 5,801 people reached (3,075M,2,726F). Radio spots and messages broadcast on 18 media outlets. 4 radio broadcasts on EVD prevention and community-based surveillance in 4 different media.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.996}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8628}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9952}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9956}]"
North-Kivu,19-06-2026,"11,735 people sensitized, 7,732 households visited with 1,631 community relays deployed. 564 community leaders involved. 18 radio broadcasts and community dialogues conducted.",[]
Ituri,22-06-2026,"Day 2 of RCCE training for multisectoral actors in Ituri. Presentation on Human Centred Design (HCD). 2,048 people sensitized during educational talks in 263 households in Nyankunde HZ.","[{""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9975}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.7771}, {""type"": ""ORG"", ""value"": ""Human Centred Design"", ""score"": 0.7357}, {""type"": ""ORG"", ""value"": ""HCD"", ""score"": 0.7091}, {""type"": ""LOC"", ""value"": ""Nyankunde HZ"", ""score"": 0.8868}]"
North-Kivu,22-06-2026,"Briefing of 49 community leaders from Makasi, Katsya and Vulindi AS on risk communication, alert reporting and community engagement. 9,722 people sensitized on EVD prevention and rumour management in Goma, Karisimbi, Nyiragongo and Katwa. 17 community alerts reported by 10 community actors. 12 civil society representatives (7F,5M) trained on EVD. 1 rumour collected and clarified. 18 local radios engaged with 3 communication formats produced and broadcast.","[{""type"": ""ORG"", ""value"": ""Makasi"", ""score"": 0.9523}, {""type"": ""ORG"", ""value"": ""Katsya"", ""score"": 0.9893}, {""type"": ""ORG"", ""value"": ""V"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""##ulindi AS"", ""score"": 0.8436}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9297}, {""type"": ""LOC"", ""value"": ""Goma"", ""score"": 0.9196}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9187}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.9794}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9894}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.7845}]"
Ituri,23-06-2026,"97 mass sensitization activities (4,333 people). 1,587 households visited (6,392 people: 2,882M, 3,510F) in Mongbwalu, Rwampara, Nyankunde. 375 educational talks (9,375 people). Educational talks in Rethy and Rwampara (2,983 people: 1,219M, 1,764F). 18 radio spots/messages broadcast.","[{""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9652}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9047}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8975}, {""type"": ""LOC"", ""value"": ""Rethy"", ""score"": 0.8299}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9821}]"
North-Kivu,23-06-2026,"38,541 people sensitized (22,274F, 16,267M). 11,544 households visited by 2,077 community relays. 2,159 people sensitized in public places (Red Cross). Interactive broadcast on RTCT (143 reactions). 122 community actors engaged in Karisimbi. 88 community alerts, 3 rumors clarified. 18 local radios (3 formats). 93 teachers mobilized for 2,175 students. 211 feedbacks captured (58% call center).","[{""type"": ""ORG"", ""value"": ""Red Cross"", ""score"": 0.9981}, {""type"": ""ORG"", ""value"": ""RTC"", ""score"": 0.8489}, {""type"": ""LOC"", ""value"": ""Ka"", ""score"": 0.8138}, {""type"": ""LOC"", ""value"": ""##im"", ""score"": 0.9203}]"
Ituri,24-06-2026,"Verification of active community relays in urban-rural Bunia. Interactive broadcast with testimonial of recovered patient from Rwampara ETC (17 partner radios). Sensitization in mining and community areas. 3 community dialogues and 19 mass sensitizations (1,886 people). 394 households visited and 259 educational talks (4,521 people). 18 radio spots/messages broadcast (FHI 360 support).","[{""type"": ""LOC"", ""value"": ""Bunia"", ""score"": 0.6658}, {""type"": ""ORG"", ""value"": ""Rwampara ETC"", ""score"": 0.8826}]"
North-Kivu,24-06-2026,"Manguredjipa HZ: popular expression forum with 491 motorcycle taxi drivers on risk reduction and prevention measures. Katwa and Butembo HZ: meeting with RCCE supervisors to strengthen support. Vuhovi HZ: briefing of traditional healers and private structure managers on risk communication, community-based surveillance and community engagement.","[{""type"": ""ORG"", ""value"": ""Manguredjipa H"", ""score"": 0.914}, {""type"": ""ORG"", ""value"": ""Katwa"", ""score"": 0.9883}, {""type"": ""ORG"", ""value"": ""Butembo H"", ""score"": 0.9655}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9984}, {""type"": ""ORG"", ""value"": ""Vuhov"", ""score"": 0.695}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.91}]"
