nom,date,coordination_en,zeroshot_json
Rwampara,31-05-2026,"Official inauguration of the standardised Ebola Treatment Centre (ETC) at CME Rwampara, rehabilitated and handed over by the WHO Director General to the EVD Incident Manager representing the Minister of Public Health.","{""class"": ""meeting"", ""score"": 0.6907}"
Goma,03-06-2026,Participation in the ceremony for the discharge of the first recovered patient in Goma. Incident Management System meeting held at the DPS. Follow-up on traveller quarantine.,"{""class"": ""partner coordination"", ""score"": 0.5338}"
Beni,03-06-2026,Meeting with the Provincial Governor. Recommendation for direct funding of response activities. Health Cluster meeting held.,"{""class"": ""resource allocation"", ""score"": 0.4779}"
Nyankunde,07-06-2026,Sunday visit of the Military Governor to CME Nyankunde where an ETC is installed; he encouraged EVD patients and their families to adhere to isolation at the ETC when necessary.,"{""class"": ""meeting"", ""score"": 0.4251}"
Bunia,07-06-2026,"At the launch of training on the zonal approach, the INSP Director-General called on the 17 Health Zone Medical Chiefs of the Bunia office and their Community Animators to actively involve themselves in EVD response activities. Organisation of training for all health zone medical chiefs of Ituri province on the functioning of an IMS and the zonal approach for this response (60 participants: INSP/COUSP-RDC, DPS and HZ framework teams). Continued support to affected provinces under the leadership of the IM and IMS members based in Bunia. Visit of CME and Rwampara ETCs by the DG of Alima, guided by the INSP DG and COUSP Coordinator.","{""class"": ""partner coordination"", ""score"": 0.3691}"
Nyankunde,09-06-2026,Recovery and discharge ceremonies for patients in Nyankunde and Mongbwalu.,"{""class"": ""meeting"", ""score"": 0.4273}"
Mongbwalu,09-06-2026,Recovery and discharge ceremonies for patients in Nyankunde and Mongbwalu.,"{""class"": ""meeting"", ""score"": 0.4273}"
Beni,11-06-2026,Coordination assessment mission in Beni and Butembo.,"{""class"": ""meeting"", ""score"": 0.4364}"
Butembo,11-06-2026,"Coordination assessment mission in Beni and Butembo. Working exchange between INSP DG and provincial team to strengthen response actions; and Supervision visit by COUSP and National IM to ETCs in Butembo and Katwa.""
Kinshasa,11-06-2026,Preparedness briefing on EVD for all staff at Cinquantenaire Hospital.""","{""class"": ""partner coordination"", ""score"": 0.6197}"
Rwampara,11-06-2026,Working session (Coordination-IMS-PTF-National Experts) to strengthen contact listing and follow-up.,"{""class"": ""meeting"", ""score"": 0.5008}"
Katwa,11-06-2026,Supervision visit by COUSP and National IM to ETCs in Butembo and Katwa.,"{""class"": ""partner coordination"", ""score"": 0.6931}"
Nyankunde,22-06-2026,INSP Director-General visited Nyankunde with provincial deputies to supervise patient care. One ambulance allocated to the health zone to address identified gaps.,"{""class"": ""resource allocation"", ""score"": 0.3961}"
Aru,24-06-2026,"Launch of the 90-day cross-border response plan between DRC and Uganda. Joint laboratory capacity building and clinical care strengthening prioritized, starting with the strategic Aru area.","{""class"": ""partner coordination"", ""score"": 0.5755}"
Bunia,29-06-2026,Field visit to Bunia HZ to assess the capacity for expansion of isolation structures. Identification by the response team (including RCCE) supported by technical and financial partners of the site for ETC development in Bunia HZ.,"{""class"": ""partner coordination"", ""score"": 0.7533}"
Bunia,10-07-2026,"Inauguration of the ETC extension at HGR Bunia and CT at Kingozi displacement camp in Ituri by the Minister of Public Health, accompanied by the Secretary General for Health, national coordination members and technical and financial partners. Delivery of 200 blood bags from PNTS Kinshasa. Continued supervision of response activities in the field.","{""class"": ""meeting"", ""score"": 0.492}"
