nom,date,security_en,zeroshot_json
Bunia,03-06-2026,Attack at cemetery on 02 June: 5 response team members injured. Discovery of 2 bodies in Salongo neighbourhood awaiting EDS.,"{""class"": ""armed attack"", ""score"": 0.7478}"
Oicha,03-06-2026,"Massacre of approximately 24 civilians at Mbau (Oicha HZ) attributed to presumed ADF. Response activities in Beni, Butembo and Oicha paralysed due to popular demonstrations.","{""class"": ""armed attack"", ""score"": 0.859}"
Nizi,04-06-2026,Security situation remains unstable.,"{""class"": ""general instability"", ""score"": 0.5012}"
Bambu,04-06-2026,Security situation remains unstable.,"{""class"": ""general instability"", ""score"": 0.5012}"
Bunia,04-06-2026,Relatively calm.,"{""class"": ""general instability"", ""score"": 0.3721}"
Bambu,05-06-2026,The security situation remains unstable in the health zones of Bambu.,"{""class"": ""general instability"", ""score"": 0.6471}"
Nizi,05-06-2026,The security situation remains unstable in the health zones of Nizi.,"{""class"": ""general instability"", ""score"": 0.6181}"
Bunia,05-06-2026,"The security situation in the city of Bunia (Bunia and Rwampara health zones) is relatively calm. However, the presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","{""class"": ""armed attack"", ""score"": 0.8192}"
Bunia,06-06-2026,Relatively calm. Sensitisation of soldiers' wives (compartment leaders) and their children on EVD generalities.Presence of armed groups continues to limit humanitarian access in several affected or at-risk health zones.,"{""class"": ""armed attack"", ""score"": 0.5226}"
Bunia,07-06-2026,"Incident: SDB team attacked by unidentified persons at Nyamurongo cemetery. Toll: 2 people seriously injured and 2 vehicles damaged. Security situation relatively calm. However, presence of armed groups in Djugu, Irumu and Mambasa territories continues to limit humanitarian access in several affected or at-risk health zones.","{""class"": ""armed attack"", ""score"": 0.6548}"
Rwampara,07-06-2026,"Security situation relatively calm. However, presence of armed groups in Djugu, Irumu and Mambasa territories continues to limit humanitarian access in several affected or at-risk health zones.","{""class"": ""armed attack"", ""score"": 0.7923}"
Bunia,08-06-2026,"The security situation in Bunia city (Bunia and Rwampara health zones) is relatively calm. However, the presence of armed groups in the territories of Djugu, Irumu and Mambasa continues to limit humanitarian access in several affected or at-risk health zones.","{""class"": ""armed attack"", ""score"": 0.8378}"
Bunia,09-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access.","{""class"": ""armed attack"", ""score"": 0.6939}"
Rwampara,09-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access.","{""class"": ""armed attack"", ""score"": 0.6939}"
Bunia,11-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access.","{""class"": ""armed attack"", ""score"": 0.6939}"
Rwampara,11-06-2026,"Situation relatively calm in Bunia and Rwampara. Armed groups in Djugu, Irumu and Mambasa limit humanitarian access.","{""class"": ""armed attack"", ""score"": 0.6939}"
Bunia,15-06-2026,Support for blood transfusion safety strengthening (CNTS equipment and materials delivered by WHO). Monitoring of medicine deployment (UG-PDSS and MEMISA Belgium). Security situation calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6022}"
Mongbwalu,15-06-2026,Incident: EDS team attacked in PLUTO health area. SDB was performed after security forces intervention. No casualties reported.,"{""class"": ""armed attack"", ""score"": 0.8684}"
Bunia,16-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,18-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,19-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,22-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,23-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,24-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,25-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,29-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident: PoC under construction at Miala (north entrance of Bunia) was burned down on the night of 28-29 June by unidentified persons.,"{""class"": ""general instability"", ""score"": 0.6094}"
Bunia,30-06-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas.,"{""class"": ""general instability"", ""score"": 0.6378}"
Bunia,02-07-2026,"Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident at PK51 (Nia-Nia HZ) slowed planned activities. Strengthened dialogue with local authorities, community leaders and security services remains a priority to ensure access to high-risk areas","{""class"": ""general instability"", ""score"": 0.3754}"
Bunia,03-07-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Vandalism act at Irumu Centre PoC by unidentified persons following the arrest of one of their members by security services.,"{""class"": ""general instability"", ""score"": 0.7409}"
Bunia,04-07-2026,Security situation remains calm but unpredictable in Bunia and surrounding areas. Incident: IPC team attacked and vehicle stoned during decontamination of CMC Kiharo (Rughenda health area).,"{""class"": ""armed attack"", ""score"": 0.6695}"
Bunia,07-07-2026,Continued strike of healthcare providers in Bunia and Rwampara health zones in Ituri.,"{""class"": ""roadblock"", ""score"": 0.3469}"
Bunia,09-07-2026,Continued strike of healthcare providers in Bunia and Rwampara health zones in Ituri. Supervision at Kasitu PoC on prevention measures and screening. Briefing of PNC personnel at Kitatumba ETC on barrier measures. No new major security incident reported.,"{""class"": ""roadblock"", ""score"": 0.3548}"
Nia-Nia,10-07-2026,Avakubi PoC (Bafwanduo health area) vandalized by unidentified persons. Nia-Nia Medical Chief advocated for the securing of PK51 locality (health center ransacked for the second time) to allow resumption of response activities and SDBs.,"{""class"": ""general instability"", ""score"": 0.5542}"
Bunia,10-07-2026,Mudzibala PoC: threats against providers after transfer of an adolescent to ETC. Refusal of screening/handwashing by some humanitarian and military personnel.,"{""class"": ""roadblock"", ""score"": 0.5434}"
