nom,date,provincial_management_en,ner_json,emotion_json
North-Kivu,09-06-2026,"A total of 17 patients were in isolation (5 confirmed, 12 suspected). The occupancy rate was 23.9%.",[],"{""label"": ""neutral"", ""score"": 0.592}"
South-Kivu,09-06-2026,"A total of 6 patients were in isolation (1 confirmed, 5 suspected). The occupancy rate was 42.8%.",[],"{""label"": ""neutral"", ""score"": 0.5236}"
Ituri,11-06-2026,"Admissions: 47. Deaths: 7, Recoveries/Non-cases: 7, Escapes: 4, Transfers: 4. In isolation: 272 (131 confirmed, 141 suspected). Occupancy rate: 77.9%. 25% new confirmed, 38.2% confirmed under follow-up, 14.9% new suspected, 12.8% suspected under follow-up received MHPSS. 120 results announced (50 positive). 14 children in crèche (100%), 16 children in community received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.8239}"
North-Kivu,11-06-2026,"Admissions: 18. Deaths: 0, Recoveries/Non-cases: 0, Escapes: 0, Transfers: 0. In isolation: 31 (6 confirmed, 25 suspected). Occupancy rate: 43.7%. 60% confirmed under follow-up, 100% new suspected, 90.9% suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.7171}"
South-Kivu,11-06-2026,"Admissions: 10. Deaths: 0, Recoveries/Non-cases: 5, Escapes: 0, Transfers: 0. In isolation: 12 (1 confirmed, 11 suspected). Occupancy rate: 37.5%. 100% confirmed and suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.7633}"
Ituri,15-06-2026,"Admissions: 47. Deaths: 14, Non-cases: 17, Recoveries: 6, Escapes: 6. In isolation: 321 (152 confirmed, 169 suspected). Occupancy rate: 97.3%. 10% new confirmed, 40.2% confirmed under follow-up, 42.6% new suspected, 43.5% suspected under follow-up received MHPSS. 132 results announced (31 positive). 1 child in crèche (100%) received MHPSS. 36 CTE companions, 91 PPL, 101 households/communities, 30 SDBs supported.",[],"{""label"": ""neutral"", ""score"": 0.8459}"
North-Kivu,15-06-2026,"Admissions: 7. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 45 (15 confirmed, 30 suspected). Occupancy rate: 63.4%. 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 1 child in crèche (100%), 13 children in community received MHPSS. 7 CTE companions, 14 PPL, 12 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.8299}"
South-Kivu,15-06-2026,"Admissions: 7. Deaths: 0, Non-cases: 3, Recoveries: 0, Escapes: 0. In isolation: 10 (1 confirmed, 9 suspected). Occupancy rate: 31.3%. 100% new confirmed, 100% suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.7284}"
Ituri,16-06-2026,"Admissions: 47. Deaths: 8, Non-cases: 23, Recoveries: 18, Escapes: 1. In isolation: 318 (138 confirmed, 180 suspected). Occupancy rate: 96.4%. 28.5% new confirmed, 25.9% confirmed under follow-up, 19.1% new suspected, 27% suspected under follow-up received MHPSS. 70 results announced (30 positive). 44 CTE companions, 288 PPL, 69 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.8418}"
North-Kivu,16-06-2026,"Admissions: 11. Deaths: 9, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 46 (13 confirmed, 33 suspected). Occupancy rate: 64.8%. 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 9 children in community received MHPSS. 3 CTE companions, 15 PPL, 20 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.813}"
South-Kivu,16-06-2026,"Admissions: 9. Deaths: 0, Non-cases: 4, Recoveries: 0, Escapes: 0. In isolation: 15 (1 confirmed, 14 suspected). Occupancy rate: 46.9%. 41.7% confirmed under follow-up, 62.5% new suspected, 28.1% suspected under follow-up received MHPSS. 11 results announced.",[],"{""label"": ""neutral"", ""score"": 0.7528}"
Ituri,18-06-2026,"Admissions: 53. Deaths: 16, Non-cases: 19, Recoveries: 2, Escapes: 2. In isolation: 349 (139 confirmed, 210 suspected). Occupancy rate: 103.3% (overcapacity). 100% new confirmed, 57.6% confirmed under follow-up, 50% new suspected, 80.3% suspected under follow-up received MHPSS. 10 results announced (3 positive). 1 child in crèche received MHPSS. 71 CTE companions, 35 PPL, 37 households/communities, 2 SDBs supported.",[],"{""label"": ""neutral"", ""score"": 0.8649}"
North-Kivu,18-06-2026,"Admissions: 8. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 56 (22 confirmed, 34 suspected). Occupancy rate: 78.9%. 100% new suspected received MHPSS. 25 PPL received MHPSS",[],"{""label"": ""neutral"", ""score"": 0.7788}"
South-Kivu,18-06-2026,"Admissions: 9. Deaths: 0, Non-cases: 1, Recoveries: 0, Escapes: 0. In isolation: 14 (1 confirmed, 13 suspected). Occupancy rate: 34.4%. 45.5% new confirmed, 36.7% confirmed under follow-up, 40% new suspected, 36.9% suspected under follow-up received MHPSS. 6 children in community received MHPSS. 52 CTE companions, 28 PPL, 12 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.7984}"
Ituri,19-06-2026,"Admissions: 59. Deaths: 5, Non-cases: 16, Recoveries: 12, Escapes: 5. In isolation: 307 (124 confirmed, 183 suspected). Occupancy rate: 90.8%. 40% new confirmed, 37.6% confirmed under follow-up, 2.7% new suspected, 20.7% suspected under follow-up received MHPSS. 25 results announced (10 positive). 42 CTE companions, 165 PPL, 35 households/communities, 1 SDB supported.","[{""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.7237}]","{""label"": ""neutral"", ""score"": 0.8398}"
North-Kivu,19-06-2026,"Admissions: 6. Deaths: 0, Non-cases: 8, Recoveries: 0, Escapes: 0. In isolation: 54 (24 confirmed, 30 suspected). Occupancy rate: 76.1%. 100% new suspected, 100% suspected under follow-up received MHPSS. 16 children in community received MHPSS. 12 CTE companions, 21 PPL, 20 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.7821}"
South-Kivu,19-06-2026,"100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.6271}"
Ituri,22-06-2026,"3 patients declared recovered. Nutritional follow-up: 556 hot meals served (80 suspected, 76 confirmed, 41 companions, 359 PPL). Admissions: 57. Deaths: 14, Non-cases: 16, Recoveries: 3, Escapes: 1. In isolation: 321 (173 confirmed, 148 suspected). Occupancy rate: 87.0%. 11.1% new confirmed, 38.9% confirmed under follow-up, 17.7% new suspected, 30.9% suspected under follow-up received MHPSS. 26 results announced (4 positive). 8 children in crèche (100%) received MHPSS. 29 CTE companions, 75 PPL, 62 households/communities.",[],"{""label"": ""neutral"", ""score"": 0.847}"
North-Kivu,22-06-2026,"Admissions: 36. Deaths: 0, Non-cases: 7, Recoveries: 0, Escapes: 0. In isolation: 56 (17 confirmed, 39 suspected). Occupancy rate: 54.4%. 33.3% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 13 children in community received MHPSS. 22 CTE companions, 18 PPL, 8 households/communities. 3 SDBs supported.",[],"{""label"": ""neutral"", ""score"": 0.8503}"
South-Kivu,22-06-2026,"Admissions: 0. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 10 (0 confirmed, 10 suspected). Occupancy rate: 31.3%.",[],"{""label"": ""neutral"", ""score"": 0.7023}"
Ituri,23-06-2026,"7 patients declared recovered. Cumulative recovered: 122 (113 Ituri, 7 North Kivu, 2 South Kivu). 2 recovered PPL readmitted to Rwampara ETC (1 became positive again). Admissions: 46. Deaths: 9, Non-cases: 14, Recoveries: 7, Escapes: 0. In isolation: 337 (175 confirmed, 162 suspected). Occupancy rate: 91.3%. Meals served: 724 (163 confirmed, 146 suspected, 353 PPL, 62 companions). 100% new confirmed, 47.7% confirmed under follow-up, 26.9% new suspected, 43.1% suspected under follow-up received MHPSS. 26 results announced (16 positive). 2 children in crèche (100%). 34 CTE companions, 7 PPL, 8 households/communities.","[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.3765}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9948}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9898}, {""type"": ""ORG"", ""value"": ""Rwampara ETC"", ""score"": 0.9452}]","{""label"": ""neutral"", ""score"": 0.8556}"
North-Kivu,23-06-2026,"Admissions: 8. Deaths: 0, Non-cases: 5, Recoveries: 0, Escapes: 0. In isolation: 59 (17 confirmed, 42 suspected). Occupancy rate: 57.3%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 6 results announced (1 positive). 15 CTE companions, 6 PPL, 32 households/communities. 4 SDBs supported.",[],"{""label"": ""neutral"", ""score"": 0.8638}"
South-Kivu,23-06-2026,"Admissions: 7. Deaths: 0, Non-cases: 5, Recoveries: 0, Escapes: 0. In isolation: 12 (0 confirmed, 12 suspected). Occupancy rate: 37.5%. 100% suspected under follow-up received MHPSS. 1 child in crèche (100%), 31 children in community. 4 CTE companions, 22 PPL.",[],"{""label"": ""neutral"", ""score"": 0.5929}"
Ituri,24-06-2026,"16 patients declared recovered. Cumulative recovered: 138 (129 Ituri, 7 North Kivu, 2 South Kivu). 8 deaths recorded in ETCs (4 Bunia, 2 Mongbwalu, 1 Nyankunde, 1 Rwampara). Admissions: 59. Deaths: 14, Non-cases: 37, Recoveries: 16, Escapes: 1. In isolation: 313 (188 confirmed, 125 suspected). Occupancy rate: 85.3%. Meals served: 660 (111 confirmed, 100 suspected, 387 PPL, 62 companions). 30% new confirmed, 55.7% confirmed under follow-up, 22.6% new suspected, 52.9% suspected under follow-up received MHPSS. 17 results announced (6 positive). 64 CTE companions, 0 PPL, 5 households/communities.","[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.3348}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9937}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9888}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.4176}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.3908}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.6005}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.5971}, {""type"": ""LOC"", ""value"": ""##mp"", ""score"": 0.5521}, {""type"": ""ORG"", ""value"": ""##ara"", ""score"": 0.7174}]","{""label"": ""neutral"", ""score"": 0.8297}"
North-Kivu,24-06-2026,"Admissions: 8. Deaths: 0, Non-cases: 5, Recoveries: 0, Escapes: 0. In isolation: 59 (17 confirmed, 42 suspected). Occupancy rate: 57.3%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 15 results announced (1 positive). 13 CTE companions, 8 PPL, 29 households/communities. 1 SDB supported.","[{""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.9286}]","{""label"": ""neutral"", ""score"": 0.857}"
South-Kivu,24-06-2026,"Admissions: 6. Deaths: 0, Non-cases: 5, Recoveries: 0, Escapes: 0. In isolation: 13 (0 confirmed, 13 suspected). Occupancy rate: 29.5%. 100% new suspected, 100% suspected under follow-up received MHPSS. 23 children in community received MHPSS. 3 CTE companions, 17 PPL.",[],"{""label"": ""neutral"", ""score"": 0.7986}"
Ituri,25-06-2026,"10 patients declared recovered. Cumulative recovered: 148 (139 Ituri, 7 North Kivu, 2 South Kivu). 6 deaths recorded in ETCs (3 Mongbwalu, 1 Bunia, 1 Nyankunde, 1 Bambu). Admissions: 60. Deaths: 7, Non-cases: 21, Recoveries: 10, Escapes: 1. In isolation: 334 (193 confirmed, 141 suspected). Occupancy rate: 89.8%. Meals served: 706 (111 confirmed, 123 suspected, 437 PPL, 35 companions). 27 patient households received food supplies. 57.1% new confirmed, 39.8% confirmed under follow-up, 3.1% new suspected, 73.6% suspected under follow-up received MHPSS. 10 results announced (4 positive). 111 CTE companions, 9 PPL, 51 households/communities.","[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.48}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9931}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9877}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.3904}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.3477}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.4706}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.4321}]","{""label"": ""neutral"", ""score"": 0.838}"
North-Kivu,25-06-2026,"Admissions: 12. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 68 (27 confirmed, 41 suspected). Occupancy rate: 66.0%. ",[],"{""label"": ""fear"", ""score"": 0.4259}"
South-Kivu,25-06-2026,"Admissions: 4. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 17 (0 confirmed, 17 suspected). Occupancy rate: 38.6%. 100% suspected under follow-up received MHPSS. 11 children in community received MHPSS. 6 CTE companions, 15 PPL.",[],"{""label"": ""neutral"", ""score"": 0.6527}"
Ituri,27-06-2026,"15 patients declared recovered. Cumulative recovered: 178 (168 Ituri, 8 North Kivu, 2 South Kivu). 10 deaths recorded in ETCs (5 Mongbwalu, 2 Elikya/Bunia, 1 Nyankunde, 1 Komanda, 1 ISTM/Rwampara). Admissions: 50. Deaths: 15, Non-cases: 14, Recoveries: 15, Escapes: 1. In isolation: 338 (192 confirmed, 146 suspected). Occupancy rate: 90.9%. Meals served: 774 (146 confirmed, 151 suspected, 422 PPL, 55 companions). 5 dry rations distributed. 37.5% new confirmed, 44.8% confirmed under follow-up, 61.7% new suspected, 45.9% suspected under follow-up received MHPSS. 6 results announced (3 positive). 1 child in crèche. 57 CTE companions, 74 PPL, 7 households/communities. 7 SDBs supported.","[{""type"": ""LOC"", ""value"": ""It"", ""score"": 0.79}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9942}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9895}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.5776}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.897}, {""type"": ""ORG"", ""value"": ""##bwal"", ""score"": 0.5832}, {""type"": ""ORG"", ""value"": ""Elikya"", ""score"": 0.6873}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.4108}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.4837}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.9365}, {""type"": ""ORG"", ""value"": ""##yanku"", ""score"": 0.6525}, {""type"": ""ORG"", ""value"": ""Komanda"", ""score"": 0.8378}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.9642}, {""type"": ""ORG"", ""value"": ""Rwampara"", ""score"": 0.9159}]","{""label"": ""neutral"", ""score"": 0.8636}"
North-Kivu,27-06-2026,"Admissions: 20. Deaths: 1, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 143 (16 confirmed, 127 suspected). Occupancy rate: 138.8% (saturation in Butembo, Kalunguta, Masereka, Musienene). 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 28 results announced (0 positive). 7 CTE companions, 4 PPL, 1 household/community. 10 SDBs supported.","[{""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9793}, {""type"": ""LOC"", ""value"": ""Kalunguta"", ""score"": 0.9307}, {""type"": ""LOC"", ""value"": ""Masereka"", ""score"": 0.8991}, {""type"": ""LOC"", ""value"": ""Musienene"", ""score"": 0.8231}]","{""label"": ""neutral"", ""score"": 0.8662}"
South-Kivu,27-06-2026,"Admissions: 4. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 21 (0 confirmed, 21 suspected). Occupancy rate: 47.7%. 100% suspected under follow-up received MHPSS. 3 children in community. 7 PPL.",[],"{""label"": ""neutral"", ""score"": 0.646}"
Ituri,29-06-2026,"9 patients declared recovered (2 CME, 2 Nyankunde, 1 Rwampara, 1 Elikya, 1 Beni, 1 Kalunguta, 1 Katwa). Cumulative recovered: 189 (176 Ituri, 11 North Kivu, 2 South Kivu). 13 deaths recorded in ETCs (4 Elikya, 4 CME, 2 Mongbwalu, 2 Nyankunde, 1 ISTM) and 1 in Beni ETC. Admissions: 68. Deaths: 17, Non-cases: 24, Recoveries: 6, Escapes: 3. In isolation: 451 (200 confirmed, 251 suspected). Occupancy rate: 102%. 66.7% new confirmed, 61.7% confirmed under follow-up, 55.0% new suspected, 63.3% suspected under follow-up received MHPSS. 14 results announced (0 positive). 56 CTE companions, 11 PPL, 31 households/communities. 16 SDBs supported.","[{""type"": ""ORG"", ""value"": ""C"", ""score"": 0.9849}, {""type"": ""ORG"", ""value"": ""N"", ""score"": 0.9013}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.932}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8556}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.9617}, {""type"": ""ORG"", ""value"": ""Ben"", ""score"": 0.5501}, {""type"": ""LOC"", ""value"": ""##i"", ""score"": 0.6724}, {""type"": ""ORG"", ""value"": ""Kalung"", ""score"": 0.5456}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.6844}, {""type"": ""ORG"", ""value"": ""It"", ""score"": 0.8433}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.9942}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9962}, {""type"": ""ORG"", ""value"": ""Eliky"", ""score"": 0.8426}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.9249}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.9656}, {""type"": ""ORG"", ""value"": ""##bwalu"", ""score"": 0.7657}, {""type"": ""ORG"", ""value"": ""Nyanku"", ""score"": 0.7255}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.8749}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9344}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.7926}]","{""label"": ""neutral"", ""score"": 0.811}"
North-Kivu,29-06-2026,"Admissions: 13. Deaths: 1, Non-cases: 1, Recoveries: 3, Escapes: 2. In isolation: 135 (16 confirmed, 119 suspected). Occupancy rate: 125%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 23 results announced (1 positive). 3 children in community. 2 CTE companions, 11 PPL.",[],"{""label"": ""neutral"", ""score"": 0.8131}"
South-Kivu,29-06-2026,"Admissions: 2. Deaths: 0, Non-cases: 0, Recoveries: 0, Escapes: 0. In isolation: 23 (0 confirmed, 23 suspected). Occupancy rate: 51.1%. 100% new suspected, 100% suspected under follow-up received MHPSS.",[],"{""label"": ""neutral"", ""score"": 0.6826}"
Ituri,30-06-2026,"9 deaths recorded in ETCs (5 Bunia, 2 Mongbwalu, 1 Bambu, 1 Elikya). 19 patients declared recovered. Cumulative recovered: 208 (197 Ituri, 9 North Kivu, 2 South Kivu). Admissions: 69. Deaths: 22, Non-cases: 24, Recoveries: 19, Escapes: 4. In isolation: 415 (186 confirmed, 229 suspected). Occupancy rate: 100%. 66.7% new confirmed, 61.7% confirmed under follow-up, 55% new suspected, 63.3% suspected under follow-up received MHPSS. 14 results announced (0 positive). 56 CTE companions, 11 PPL, 31 households/communities. 16 SDBs supported.","[{""type"": ""ORG"", ""value"": ""B"", ""score"": 0.2661}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.3587}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.4115}, {""type"": ""ORG"", ""value"": ""Eli"", ""score"": 0.6299}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.5635}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.992}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9917}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.7074}]","{""label"": ""neutral"", ""score"": 0.8163}"
North-Kivu,30-06-2026,"5 deaths recorded in ETCs (4 Katwa, 1 Beni). Admissions: 4. Deaths: 3, Non-cases: 2, Recoveries: 0, Escapes: 1. In isolation: 153 (18 confirmed, 135 suspected). Occupancy rate: 125%. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 23 results announced (1 positive). 3 children in community. 2 CTE companions, 11 PPL.","[{""type"": ""MISC"", ""value"": ""ET"", ""score"": 0.5897}, {""type"": ""LOC"", ""value"": ""Kat"", ""score"": 0.7398}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.8551}]","{""label"": ""neutral"", ""score"": 0.8379}"
South-Kivu,30-06-2026,"In isolation: 41 (0 confirmed, 41 suspected). Occupancy rate: 73%. 100% new suspected, 100% suspected under follow-up received MHPSS.","[{""type"": ""ORG"", ""value"": ""M"", ""score"": 0.8794}, {""type"": ""ORG"", ""value"": ""##HP"", ""score"": 0.5886}]","{""label"": ""neutral"", ""score"": 0.5644}"
Ituri,02-07-2026,"13 deaths recorded in ETCs (6 Mongbwalu, 4 Bunia, 2 Rwampara, 1 ISTM, 1 CME). 15 patients declared recovered (6 Mongbwalu, 3 CME, 3 Bunia, 2 Bambu, 1 Rwampara). Cumulative recovered: 244. Admissions: 51. Deaths: 15, Non-cases: 4, Recoveries: 15, Escapes: 1. In isolation: 462 (201 confirmed, 261 suspected). Occupancy rate: 90%. Meals served: 758 (135 confirmed, 175 suspected, 420 PPL, 28 companions). 40% new confirmed, 56.5% confirmed under follow-up, 63.1% new suspected, 67.9% suspected under follow-up received MHPSS. 32 results announced (22 positive). 1 child in crèche (100%). 57 CTE companions, 14 PPL, 15 households/communities. 14 SDBs supported.","[{""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.4992}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8612}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.9741}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8128}, {""type"": ""ORG"", ""value"": ""ISTM"", ""score"": 0.8755}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.7454}, {""type"": ""ORG"", ""value"": ""Mon"", ""score"": 0.7213}, {""type"": ""ORG"", ""value"": ""##b"", ""score"": 0.5198}, {""type"": ""ORG"", ""value"": ""CME"", ""score"": 0.8878}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.8624}, {""type"": ""ORG"", ""value"": ""Ba"", ""score"": 0.927}, {""type"": ""ORG"", ""value"": ""R"", ""score"": 0.976}, {""type"": ""ORG"", ""value"": ""##mpara"", ""score"": 0.8913}, {""type"": ""ORG"", ""value"": ""M"", ""score"": 0.8433}, {""type"": ""ORG"", ""value"": ""##HP"", ""score"": 0.5762}]","{""label"": ""neutral"", ""score"": 0.8228}"
North-Kivu,02-07-2026,"1 death recorded in Katwa ETC. 1 patient declared recovered (Katwa). Cumulative recovered: 244 (232 Ituri, 10 North Kivu, 2 South Kivu). Admissions: 21. Deaths: 1, Non-cases: 0, Recoveries: 1, Escapes: 0. In isolation: 147 (14 confirmed, 133 suspected). Occupancy rate: 136%. A 3-month-old confirmed child at Beni HGR; nutritional care ongoing. 100% new confirmed, 100% confirmed under follow-up, 100% new suspected, 100% suspected under follow-up received MHPSS. 13 results announced (1 positive). 8 CTE companions.","[{""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9832}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.8268}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.874}, {""type"": ""LOC"", ""value"": ""It"", ""score"": 0.7321}, {""type"": ""LOC"", ""value"": ""North Kivu"", ""score"": 0.995}, {""type"": ""LOC"", ""value"": ""South Kivu"", ""score"": 0.9943}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.8347}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.6944}, {""type"": ""MISC"", ""value"": ""CT"", ""score"": 0.8884}]","{""label"": ""neutral"", ""score"": 0.8098}"
