nom,date,provincial_coordination_en,ner_json,emotion_json
South-Kivu,06-06-2026,"A total of 3 alerts were raised, all 3 were investigated (100%), and 1 was validated. For contact tracing, 223 contacts were under follow-up, with 179 seen (80.3%).",[],"{""label"": ""neutral"", ""score"": 0.8899}"
Ituri,08-06-2026,"The INSP Director-General and Bunia’s religious leaders dialogued on EVD challenges and adherence. Support continued for affected provinces under the Incident Manager and IMS in Bunia. A field visit to Mongbwalu HZ included partners (OCHA, UNDP, WFP, UNICEF, WHO). Training ended for 23 health zone chiefs (zonal approach) and community animators (surveillance).","[{""type"": ""ORG"", ""value"": ""INSP"", ""score"": 0.9925}, {""type"": ""ORG"", ""value"": ""B"", ""score"": 0.5126}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.4735}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.6186}, {""type"": ""ORG"", ""value"": ""IMS"", ""score"": 0.836}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9937}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9544}, {""type"": ""ORG"", ""value"": ""Mongbwalu HZ"", ""score"": 0.8898}, {""type"": ""ORG"", ""value"": ""OCHA"", ""score"": 0.9969}, {""type"": ""ORG"", ""value"": ""UNDP"", ""score"": 0.9989}, {""type"": ""ORG"", ""value"": ""WFP"", ""score"": 0.998}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9986}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9987}]","{""label"": ""neutral"", ""score"": 0.769}"
Ituri,15-06-2026,INSP Director-General visited Elikya Treatment Centre to assess case management activities. Coordination meeting held to follow up on field activities with technical and financial partners. Two sessions held on increasing ETC capacity and response logistics dynamics.,"[{""type"": ""ORG"", ""value"": ""INSP"", ""score"": 0.9872}, {""type"": ""LOC"", ""value"": ""Elikya"", ""score"": 0.7243}, {""type"": ""ORG"", ""value"": ""Treatment"", ""score"": 0.5134}, {""type"": ""LOC"", ""value"": ""Centre"", ""score"": 0.9162}, {""type"": ""ORG"", ""value"": ""ETC"", ""score"": 0.9958}]","{""label"": ""neutral"", ""score"": 0.5401}"
Ituri,18-06-2026,"Arrival of 3 national ministers (Public Health, Humanitarian Affairs, Communication) to evaluate response actions in Ituri, one month after official declaration. Coordination meeting held with technical and financial partners. Working session held with the new Military Governor of Ituri.","[{""type"": ""ORG"", ""value"": ""Public Health"", ""score"": 0.9764}, {""type"": ""ORG"", ""value"": ""Humanitarian Affairs"", ""score"": 0.9747}, {""type"": ""ORG"", ""value"": ""Communication"", ""score"": 0.8714}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.6778}, {""type"": ""LOC"", ""value"": ""Ituri"", ""score"": 0.7633}]","{""label"": ""neutral"", ""score"": 0.6209}"
Ituri,19-06-2026,Coordination meeting chaired by Minister of Health and Social Welfare in presence of Provincial Governor. Technical meeting with technical and financial partners. Discharge ceremony for a recovered patient at Rwampara ETC. Provision of 6 ambulances to strengthen patient referral to ETCs.,"[{""type"": ""ORG"", ""value"": ""Health and Social Welfare"", ""score"": 0.9647}, {""type"": ""ORG"", ""value"": ""Rwampara ETC"", ""score"": 0.8069}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.9779}]","{""label"": ""neutral"", ""score"": 0.4608}"
Ituri,13/07/2026,Coordination and supervision meetings held. 3-month roadmap for Haut-Uélé developed. Work visit by Minister to Kisangani for ambulance advocacy.,"[{""type"": ""LOC"", ""value"": ""Haut - U\u00e9l\u00e9"", ""score"": 0.6302}, {""type"": ""LOC"", ""value"": ""Kisangani"", ""score"": 0.9214}]","{""label"": ""neutral"", ""score"": 0.7962}"
Nord-Kivu,13/07/2026,Technical meeting with all affected provinces. Coordination continues for extension.,[],"{""label"": ""neutral"", ""score"": 0.5687}"
Haut-Uele,13/07/2026,Joint DPS/WHO/UNICEF mission to Isiro treatment site (HGR Isiro). 3-month roadmap developed.,"[{""type"": ""ORG"", ""value"": ""DPS"", ""score"": 0.9865}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9968}, {""type"": ""ORG"", ""value"": ""UNICEF"", ""score"": 0.9977}, {""type"": ""LOC"", ""value"": ""Isiro"", ""score"": 0.9899}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.9575}, {""type"": ""ORG"", ""value"": ""Is"", ""score"": 0.7804}, {""type"": ""LOC"", ""value"": ""##iro"", ""score"": 0.8744}]","{""label"": ""neutral"", ""score"": 0.9441}"
Sud-Kivu,13/07/2026,Technical meeting held regarding epidemic extension. Residual surveillance maintained.,[],"{""label"": ""neutral"", ""score"": 0.7388}"
Tshopo,13/07/2026,Technical meeting held. Work visit by Minister to Kisangani.,"[{""type"": ""LOC"", ""value"": ""Kisangani"", ""score"": 0.959}]","{""label"": ""joy"", ""score"": 0.5821}"
